rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
17,Prado de Flores,d6024218,4.5,1406,$$ - $$$,True,True,843,False,False,"Mediterranean, Spanish, Italian, Seafood, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service",Barrio Gotico (Barri Gotic),400,59,13,4,12,488,498
18,Jara Sushi Degustacion,d23410059,5.0,423,$$ - $$$,True,True,419,True,True,"Japanese, Sushi, Japanese sweets parlour, Japanese Fusion, Asian",Vegetarian Friendly,,,El Putxet i el Farro,85,3,0,1,1,90,282
19,Con Gracia,d697505,4.5,2307,$$$$,True,True,1635,True,False,"Mediterranean, Spanish, Healthy, Catalan, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Late Night","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Gift Cards Available",Gracia,1132,107,43,10,10,1302,624
20,9 Nine,d9857188,4.5,1843,$$ - $$$,True,True,1639,False,False,"Steakhouse, International, Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Non-smoking restaurants",Eixample,724,81,17,6,8,836,567
21,Cremat Lounge,d23523702,5.0,121,$$ - $$$,True,False,128,False,False,"American, International, Dining bars, Fusion",,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",,Eixample,86,1,0,0,0,87,12
22,Anema E Core,d22280432,5.0,116,$$ - $$$,True,True,196,False,False,"Italian, Pizza, Neapolitan, Campania, Southern-Italian, Mediterranean, European",Vegetarian Friendly,,,Eixample,16,0,0,0,0,16,48
23,La Cala Barceloneta,d12595308,5.0,242,$,True,True,127,False,False,"Cafe, Mediterranean","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch",,Port Vell (Old Port),45,3,1,0,0,49,173
24,Gusto,d1575800,4.5,2177,$$ - $$$,True,True,856,True,False,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Wheelchair Accessible, Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Eixample,400,115,31,18,17,581,938
25,Trafalgar Pizza Club,d23845013,5.0,166,$$ - $$$,True,False,72,True,False,"Italian, Pizza, Neapolitan, Campania, Southern-Italian",,"Lunch, Dinner, Late Night, Drinks",,0.1 miles from El Born,7,2,0,0,2,11,139
26,Babula Bar 1937,d15759527,5.0,1648,$$ - $$$,True,True,1729,False,False,"Mediterranean, European, Spanish, Fusion",Gluten Free Options,,,Eixample,395,19,11,3,2,430,956
27,Locavore Barcelona,d23545654,5.0,194,$$ - $$$,True,False,163,True,False,"Spanish, Contemporary, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch, Drinks",,Eixample,11,2,1,0,0,14,161
28,Kiltro Restobar,d17423137,5.0,298,$$ - $$$,True,True,288,False,False,"Mexican, Latin, Central American, Colombian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Gracia,120,1,1,0,0,122,129
29,Don Asador,d23106564,5.0,875,$$ - $$$,True,False,641,False,False,"Steakhouse, Grill, Argentinean, Barbecue",,"Breakfast, Lunch, Dinner",,Gracia,304,21,5,3,3,336,307
30,Don Kilo Gourmet,d20053811,5.0,463,$$ - $$$,True,True,309,False,True,"Pizza, Southern-Italian, Italian, Mediterranean, Healthy, Neapolitan, Campania","Gluten Free Options, Vegetarian Friendly, Vegan Options",,,Eixample,73,5,1,1,1,81,255
31,Bodega Oliva,d24087768,5.0,99,,True,False,116,False,False,"Mediterranean, European, Spanish, Wine Bar",,Dinner,,0.1 miles from Plaza de Catalunya,58,2,0,0,0,60,2
32,La Parrillada,d25064697,5.0,416,$$ - $$$,True,False,255,True,False,Grill,,"Lunch, Dinner, Drinks",,0.5 miles from Basilica de Santa Maria del Mar,60,0,0,0,4,64,288
33,Swagatam Bar-Restaurant Hindu,d3847458,4.5,1104,$$ - $$$,True,True,271,True,True,"Indian, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Gracia,539,101,26,11,13,690,307
34,RAO Restaurant,d14129049,5.0,1901,$$ - $$$,True,True,1546,True,False,"Spanish, Mediterranean, European, Catalan, Fusion","Vegetarian Friendly, Gluten Free Options","Dinner, Drinks","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",El Raval,955,63,29,7,7,1061,247
35,Billy Brunch & Garden,d21339906,5.0,361,$$ - $$$,True,False,388,False,False,"French, American, Swiss, European, British, Healthy",Vegetarian Friendly,,,Eixample,123,6,6,0,0,135,160
36,Bar Xapako,d7277786,5.0,1047,$,True,True,410,False,False,"Bar, Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,238,20,11,9,3,281,456
37,Billy Brunch,d14079258,5.0,1120,$$ - $$$,True,True,917,False,False,"Cafe, European, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks","Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",Eixample,459,32,6,5,4,506,296
38,Paisano Bistro,d11896302,5.0,1032,$$ - $$$,True,True,726,False,False,"Italian, Cafe, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,379,28,7,4,2,420,114
39,Dal Presidente Bar,d17476221,5.0,210,$$ - $$$,True,True,127,False,False,"Italian, Pizza, Cafe, Fast Food, European, Romana, Lazio, Central-Italian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Digital Payments",Eixample,35,1,0,0,0,36,92
40,Taps,d7707574,4.5,1286,$$ - $$$,True,True,832,False,False,"Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Sants-Montjuic,383,62,13,5,2,465,225
41,b Restaurant,d12980226,5.0,150,$$ - $$$,True,False,131,False,False,"American, Contemporary, Barbecue, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,8,1,0,0,0,9,124
42,Almalibre Acai House Barcelona,d12697767,5.0,143,$,True,False,155,False,False,Healthy,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,26,1,0,0,0,27,90
43,Viana,d8531409,5.0,5010,$$ - $$$,True,True,4827,True,False,"International, Mediterranean, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Gift Cards Available, Accepts Credit Cards, Table Service",Barrio Gotico (Barri Gotic),2073,229,63,15,17,2397,582
44,Diegos Bar Restaurant,d10400342,5.0,300,$$ - $$$,True,True,312,True,False,"Mediterranean, Spanish, Catalan, International","Vegetarian Friendly, Vegan Options",,,Sant Marti,85,4,0,0,0,89,62
45,Casa Amalia 1950,d2002185,5.0,1343,$$ - $$$,True,True,1688,True,False,"Mediterranean, Spanish, Healthy, Fusion, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Live Music, Gift Cards Available",Eixample,202,16,7,4,4,233,861
46,My Way Lounge Restaurant,d1080185,4.5,2317,$$ - $$$,True,True,942,False,False,"International, Spanish, Mediterranean, European, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Gift Cards Available",Barrio Gotico (Barri Gotic),885,248,64,16,20,1233,160
47,Olivos Comida y Vinos,d12496310,5.0,244,$$ - $$$,True,True,315,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Sants,29,0,0,0,0,29,196
48,Bella Venezia,d23733302,5.0,125,$$ - $$$,True,False,55,True,False,Italian,,"Lunch, Dinner, Drinks",,0.2 miles from Casa Mila - La Pedrera,80,1,1,0,0,82,13
49,Jardinet De Gracia,d23754886,5.0,126,,True,False,124,True,False,Mediterranean,,"Dinner, Drinks",Reservations,0.3 miles from Casa Mila - La Pedrera,8,0,0,0,0,8,104
50,Kimchi Mama,d12028248,5.0,178,$$ - $$$,True,True,204,False,False,"Asian, Korean","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Sants-Montjuic,41,4,0,0,0,45,102
51,Brunch & Bakery,d21094787,5.0,211,$$ - $$$,True,True,210,True,False,"American, Cafe, Brew Pub, International",Vegan Options,"Breakfast, Lunch, Dinner, Brunch",,Les Corts,19,2,0,1,1,23,168
52,Jobs Restaurant,d17723862,5.0,289,$$ - $$$,True,True,338,False,False,"Mediterranean, European, Spanish, Healthy, Catalan","Vegan Options, Gluten Free Options",,,Eixample,41,5,2,0,0,48,214
53,Indian Herbs,d15124748,5.0,168,$$ - $$$,True,True,48,True,True,"Indian, Healthy, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Gracia,108,4,0,2,2,116,32
54,Wine Mood,d17039924,5.0,539,$$ - $$$,True,True,365,True,False,"Italian, Mediterranean, European, Spanish, Healthy, Wine Bar, Sardinian, Southern-Italian, Catalan, Fusion","Vegetarian Friendly, Gluten Free Options","Dinner, Late Night, Drinks","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Digital Payments",Eixample,159,5,1,1,4,170,214
55,Cremat 11,d15813621,5.0,597,$$ - $$$,True,True,659,False,False,"European, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,El Born / La Ribera,326,14,6,4,1,351,58
56,Soda Bus,d4889000,4.5,341,$$ - $$$,True,False,132,True,True,"American, Bar, European, Pub, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks",,Eixample,28,3,2,2,4,39,280
57,Boraz,d19516546,5.0,124,$$ - $$$,True,True,218,True,False,"Mediterranean, European, Spanish, Healthy",Vegetarian Friendly,"Lunch, Dinner",,Eixample,14,0,0,0,0,14,105
58,La Tartareria . Raw food .,d15325847,5.0,219,$$ - $$$,True,True,415,False,False,"Mediterranean, Healthy, European",Gluten Free Options,,,Eixample,33,1,3,0,0,37,139
59,Anita Flow,d17519526,5.0,2074,$$ - $$$,True,False,1072,False,True,"International, Mediterranean, Spanish, Healthy, Dining bars, Beer restaurants","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,557,54,9,9,5,634,1037
60,Andele Paris,d11914428,5.0,852,$$ - $$$,True,True,459,False,False,"Mexican, Latin, Healthy, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Delivery, Takeout, Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants, Gift Cards Available",Eixample,84,6,5,0,3,98,704
61,Brugarol Barcelona,d15673484,5.0,375,$$ - $$$,True,True,597,True,False,"Catalan, International, Japanese Fusion",,,,Barrio Gotico (Barri Gotic),155,3,3,1,4,166,80
62,Aula Restaurant,d8075980,5.0,196,$$ - $$$,True,True,242,True,False,"Mediterranean, European, Spanish, Contemporary, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,La Vall d'Hebron,9,0,0,0,0,9,184
63,Blavis,d3353672,5.0,896,$$ - $$$,True,True,606,False,False,"Mediterranean, European, Spanish, Healthy, Catalan",,,,El Putxet i el Farro,346,13,6,2,1,368,372
64,La Terraza Miro,d8675078,4.5,1156,$,True,True,1276,False,False,"Mediterranean, European, Spanish, Healthy, Catalan, Fusion, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks","Accepts Visa, Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Free Wifi, Accepts Credit Cards, Table Service, Digital Payments",Sants-Montjuic,307,50,10,4,2,373,298
65,LAB Restaurant,d14962029,5.0,297,$$$$,True,True,852,False,False,"Mediterranean, European, Spanish",Gluten Free Options,,,Sants,29,2,3,0,0,34,223
66,Tucco Real Food Eixample,d17651083,5.0,377,$,True,True,233,True,False,"Mediterranean, Italian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,76,8,1,1,0,86,204
67,Dona Rosa,d10285793,4.5,1188,$,True,True,665,False,True,"Bar, Mediterranean, European, Spanish, Fusion, Healthy, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Highchairs Available, Takeout, Reservations, Outdoor Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",El Raval,538,42,9,2,5,596,240
68,Restaurante Loto,d18931314,5.0,194,$$ - $$$,True,True,307,True,True,Asian,"Vegetarian Friendly, Vegan Options",,,Barrio Gotico (Barri Gotic),32,5,2,0,0,39,104
69,The Venue Steak House,d6979673,4.5,605,$$ - $$$,True,True,441,False,False,"Steakhouse, European",Gluten Free Options,,,Eixample,332,32,10,2,8,384,43
70,Eixampeling Brunch Cafe & Bar,d12356083,5.0,1106,$$ - $$$,True,True,1310,False,False,"Cafe, Healthy, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks",,Eixample,550,42,14,7,2,615,286
71,La Carmelina,d13927930,5.0,929,$$ - $$$,True,False,230,False,False,"Bar, Mediterranean, European, Spanish, Catalan, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Sant Marti,167,12,6,5,4,194,620
72,Narciso,d12702776,5.0,338,$,True,True,211,True,False,"Italian, Mediterranean, European, Wine Bar, Street Food, Tuscan, Central-Italian","Vegetarian Friendly, Vegan Options",,,El Born / La Ribera,100,1,0,2,1,104,155
73,Sumac & Mambo,d21503781,5.0,552,$$ - $$$,True,True,567,False,True,"Barbecue, Mediterranean, Middle Eastern",,"Lunch, Dinner, Late Night, Drinks",,Eixample,140,13,3,0,3,159,294
74,Alquimia Barcelona,d21074724,5.0,291,$$ - $$$,True,False,160,True,True,"Mediterranean, Spanish",Vegan Options,"Lunch, Dinner, Late Night, Drinks",,,18,0,0,0,0,18,251
75,Pizzeria Da Nanni Barcelona,d15078346,5.0,2131,$,True,True,1143,False,False,"Italian, Pizza, Fast Food, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options",,,Barrio Gotico (Barri Gotic),574,44,8,10,12,648,492
76,Bodega Biarritz 1881,d3832462,4.5,4648,$$ - $$$,True,True,2832,False,False,"Mediterranean, European, Spanish, Healthy, Catalan",,,,Barrio Gotico (Barri Gotic),1518,207,69,32,22,1848,296
77,Pizzeria Bar Ottantotto,d13763198,5.0,298,$$ - $$$,True,True,194,False,False,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options",,,Eixample,93,2,0,0,0,95,100
78,Xiloka,d12354904,5.0,480,$$ - $$$,True,True,296,False,False,"Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Sants-Montjuic,117,17,5,2,1,142,115
79,Chaka Khan,d12787272,5.0,2302,$$ - $$$,True,True,1430,False,False,Dining bars,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,El Raval,557,63,21,11,15,667,1161
80,Zed restaurant,d12232816,4.5,716,$$ - $$$,True,True,532,False,False,"Spanish, Healthy, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,209,34,6,1,0,250,94
81,Don Kilo Restaurant,d15081706,5.0,1837,$$ - $$$,True,True,1146,False,True,"Italian, Pizza","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,391,60,13,5,5,474,470
82,Casa Cheli,d20158536,5.0,225,$$ - $$$,True,True,186,True,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Gluten Free Options",,,Eixample,36,1,0,0,0,37,150
83,Restaurante Don Angelo,d997633,5.0,184,$$ - $$$,True,False,53,False,False,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night",,Eixample,32,3,0,0,0,35,97
84,Miss Simona Cafe Brunch & Tapas,d15619851,5.0,248,$,True,True,206,True,False,"Italian, Cafe, Mediterranean, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Brunch, Lunch, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Dog Friendly, Family style",Eixample,79,5,2,1,0,87,64
85,Micu Maku,d6216371,4.5,2229,$$ - $$$,True,True,1908,True,False,"Spanish, Mediterranean, European, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks, Late Night",,Eixample,470,68,21,12,14,585,410
86,La Peninsular,d4541296,4.5,3004,$$ - $$$,True,True,1783,False,False,"Seafood, Mediterranean, European, Spanish, Healthy, Catalan",,,,Barceloneta,388,96,23,14,11,532,1412
87,Kserol,d10201606,5.0,413,$$ - $$$,True,True,250,False,False,"Bar, International, Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,149,14,0,1,2,166,86
88,Arcano,d986234,4.5,3916,$$ - $$$,True,True,2700,False,False,"Mediterranean, European, Spanish, Catalan, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",El Born / La Ribera,1560,324,81,35,15,2015,616
89,Sato I Tanaka,d13189781,5.0,146,$$$$,False,True,373,False,False,"Japanese, Sushi, Asian, Healthy",Gluten Free Options,,,Eixample,16,1,2,0,0,19,119
90,Cellarer Wine Bar,d10456682,5.0,334,$$ - $$$,True,True,267,False,False,"Mediterranean, European, Spanish, Wine Bar, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",Eixample,178,8,1,0,2,189,71
91,Bodega Biarritz 1881 Tapas bar,d11906544,5.0,6993,$$ - $$$,True,False,4718,False,False,"Mediterranean, Spanish, Wine Bar, European, Catalan",,,,Barrio Gotico (Barri Gotic),2775,135,52,31,22,3015,367
92,Hungaryto,d3164386,4.5,431,$$ - $$$,True,True,297,False,False,Hungarian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,130,12,2,1,2,147,165
93,Madre Taberna Moderna,d23348829,4.5,435,$$ - $$$,True,True,403,True,False,"Mediterranean, Spanish, Fusion",,"Lunch, Dinner, Drinks",,Eixample,112,5,1,4,3,125,207
94,Senor Pina Secret Garden,d18931246,5.0,164,$$ - $$$,True,True,147,True,True,"Healthy, Hawaiian, European, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Free Wifi, Table Service, Digital Payments, Live Music, Dog Friendly, Family style, Gift Cards Available",Barrio Gotico (Barri Gotic),97,3,0,2,0,102,34
95,La Piazzetta GranVia,d19987461,5.0,336,$$ - $$$,True,True,380,True,True,"Italian, Pizza, Mediterranean, Healthy, Neapolitan","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Family style",Eixample,77,8,0,1,2,88,117
96,Lokal Bar,d14068352,4.5,917,$$ - $$$,True,True,850,False,False,"Mediterranean, European, Spanish, Healthy, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Gift Cards Available",Eixample,458,37,9,5,1,510,111
97,GiGi von tapas,d17326451,5.0,206,$$ - $$$,True,True,245,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,95,6,1,1,0,103,29
98,bicos,d13436103,5.0,523,$$ - $$$,True,True,600,True,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,118,12,2,1,0,133,269
99,Santa Rita Experience,d7057940,5.0,512,$$$$,True,True,379,True,False,"Mediterranean, Spanish, European, Fusion","Vegan Options, Gluten Free Options",,,Provencals del Poblenou,154,18,5,1,1,179,243
100,Jefferson,d13961725,4.5,960,$$ - $$$,True,True,381,False,False,"Bar, Mediterranean, European, Spanish, Catalan, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Poblenou,281,32,5,2,5,325,350
101,Tandoori Nights,d5418221,4.5,1023,$,True,True,432,True,False,"Indian, Healthy","Halal, Vegetarian Friendly, Vegan Options, Gluten Free Options",,,El Raval,327,67,18,12,13,437,424
102,Restaurante Renoi,d14135341,5.0,212,$$ - $$$,True,True,141,False,False,"Mediterranean, Spanish, Catalan","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner",,Eixample,23,3,0,0,2,28,149
103,Pulperia Can Lampazas,d10643938,4.5,1148,$$ - $$$,True,True,932,True,False,"Mediterranean, European, Spanish, Healthy",Gluten Free Options,,,Sants-Montjuic,52,15,6,2,4,79,947
104,Teoric Taverna Gastronomica,d11881068,5.0,1025,$$ - $$$,True,True,1107,True,False,"Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,329,22,6,1,0,358,497
105,En Diagonal Bar,d4725620,4.5,762,$,True,True,443,False,False,"Cafe, Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,186,39,7,3,3,238,211
106,Dual Cafe,d11593124,5.0,194,$$ - $$$,True,False,129,False,False,"Cafe, International, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,71,7,3,0,0,81,56
